month,txn_val_cr,mom_growth_percent
Aug-25,2485472.91,NULL
Jul-25,2508498.09,0.93
Jun-25,2403930.69,-4.17
May-25,2514297.01,4.59
Apr-25,2394925.87,-4.75
Mar-25,2477221.61,3.44
Feb-25,2196481.69,-11.33
Jan-25,2348037.12,6.9
Dec-24,2324699.91,-0.99
Nov-24,2155187.4,-7.29
Oct-24,2349821.46,9.03
Sep-24,2063994.71,-12.16
Aug-24,2060735.57,-0.16
Jul-24,2064292.41,0.17
Jun-24,2007081.2,-2.77
May-24,2044937.05,1.89
Apr-24,1964464.52,-3.94
Mar-24,1978353.23,0.71
Feb-24,1827869.35,-7.61
Jan-24,1841083.97,0.72
Dec-23,1822949.42,-0.98
Nov-23,1739740.61,-4.56
Oct-23,1715768.34,-1.38
Sep-23,1579133.18,-7.96
Aug-23,1576536.56,-0.16
Jul-23,1533536.44,-2.73
Jun-23,1475464.26,-3.79
May-23,1489145.44,0.93
Apr-23,1415504.71,-4.95
Mar-23,1410443.01,-0.36
Feb-23,1235846.62,-12.38
Jan-23,1298726.62,5.09
Dec-22,1282055.01,-1.28
Nov-22,1190593.39,-7.13
Oct-22,1211582.51,1.76
Sep-22,1116438.1,-7.85
Aug-22,1072792.68,-3.91
Jul-22,1062991.76,-0.91
Jun-22,1014384.31,-4.57
May-22,1041520.07,2.68
Apr-22,983302.27,-5.59
Mar-22,960581.66,-2.31
Feb-22,826843,-13.92
Jan-22,831993.11,0.62
Dec-21,826848.22,-0.62
Nov-21,768436.11,-7.06
Oct-21,771444.98,0.39
Sep-21,654351.81,-15.18
Aug-21,639116.95,-2.33
Jul-21,606281.14,-5.14
Jun-21,547373.17,-9.72
May-21,490638.65,-10.36
Apr-21,493663.68,0.62
Mar-21,504886.44,2.27
Feb-21,425062.76,-15.81
Jan-21,431181.89,1.44
Dec-20,416176.21,-3.48
Nov-20,390999.15,-6.05
Oct-20,386106.74,-1.25
Sep-20,329027.66,-14.78
Aug-20,298307.61,-9.34
Jul-20,290537.86,-2.6
Jun-20,261835,-9.88
May-20,218391.6,-16.59
Apr-20,151140.66,-30.79
Mar-20,206462.31,36.6
Feb-20,222516.95,7.78
Jan-20,216242.97,-2.82
Dec-19,202520.76,-6.35
Nov-19,189229.09,-6.56
Oct-19,191359.94,1.13
Sep-19,161456.56,-15.63
Aug-19,154504.89,-4.31
Jul-19,146386.64,-5.25
Jun-19,146566.35,0.12
May-19,152449.29,4.01
Apr-19,142034.39,-6.83
Mar-19,133460.72,-6.04
Feb-19,106737.12,-20.02
Jan-19,109932.43,2.99
Dec-18,102594.82,-6.67
Nov-18,82232.21,-19.85
Oct-18,74978.27,-8.82
Sep-18,59835.36,-20.2
Aug-18,54212.26,-9.4
Jul-18,51843.14,-4.37
Jun-18,40834.03,-21.24
May-18,33288.51,-18.48
Apr-18,27021.85,-18.83
Mar-18,24172.6,-10.54
Feb-18,19126.2,-20.88
Jan-18,15571.2,-18.59
Dec-17,13174.24,-15.39
Nov-17,9669.33,-26.6
Oct-17,7057.78,-27.01
Sep-17,5325.81,-24.54
Aug-17,4156.62,-21.95
Jul-17,3411.35,-17.93
Jun-17,3098.36,-9.17
May-17,2797.07,-9.72
Apr-17,2271.24,-18.8
Mar-17,2425.14,6.78
Feb-17,1937.71,-20.1
Jan-17,1696.22,-12.46
Dec-16,707.93,-58.26
Nov-16,100.46,-85.81
Oct-16,48.57,-51.65
Sep-16,32.64,-32.8
Aug-16,3.09,-90.53
Jul-16,0.38,-87.7
